232 SOCIOL 98Wc 2011: overall = 4.82, workload = 2.09, difficulty = 2.55
233 SPANSH 61n 2012: overall = 4.50, workload = 1.88, difficulty = 2.58
234 MUSIC 153 2011: overall = 4.53, workload = 1.94, difficulty = 2.53
235 LITER 154 2012: overall = 4.77, workload = 1.85, difficulty = 2.92
236 ANTHRO 1610 2011: overall = 4.10, workload = 1.70, difficulty = 2.50
237 HEB 1565 2011: overall = 4.10, workload = 1.70, difficulty = 2.50
238 AFRAMER 117x 2011: overall = 3.23, workload = 1.36, difficulty = 2.20
239 MUSIC 4 2011: overall = 4.92, workload = 2.15, difficulty = 2.58
240 OEB 114 2011: overall = 4.55, workload = 1.73, difficulty = 2.91
241 DRAMA 115 2012: overall = 3.92, workload = 1.75, difficulty = 2.25
242 HAA 161v 2011: overall = 4.08, workload = 1.77, difficulty = 2.38
243 SCRB 167 2011: overall = 4.56, workload = 1.74, difficulty = 2.91
244 HIST 1878a 2011: overall = 4.59, workload = 1.88, difficulty = 2.71
245 PORTUG 30 2012: overall = 4.58, workload = 2.00, difficulty = 2.50
246 SPANSH Ab 2011: overall = 4.04, workload = 1.66, difficulty = 2.53
247 ANTHRO 1682 2011: overall = 4.22, workload = 1.81, difficulty = 2.46
248 SPANSH 50 2011: overall = 4.39, workload = 1.87, difficulty = 2.53
249 OEB 54 2012: overall = 4.46, workload = 1.77, difficulty = 2.77
250 HIST 1151 2011: overall = 4.56, workload = 1.89, difficulty = 2.67
251 US-WORLD 19 2011: overall = 3.96, workload = 1.61, difficulty = 2.54
252 PHIL 159 2011: overall = 4.20, workload = 1.60, difficulty = 2.80
253 SWEDISH Aa 2011: overall = 4.90, workload = 2.20, difficulty = 2.50
254 E-PSCI 239 2011: overall = 3.10, workload = 1.30, difficulty = 2.20
255 OEB 150 2011: overall = 4.47, workload = 1.66, difficulty = 2.97
256 NEUROBIO 95hfx 2011: overall = 4.80, workload = 1.90, difficulty = 2.90
257 HIST 71b 2011: overall = 3.40, workload = 1.43, difficulty = 2.29
258 LING 83 2012: overall = 4.08, workload = 1.85, difficulty = 2.27
259 FRENCH 61a 2011: overall = 4.87, workload = 1.93, difficulty = 2.93
260 ECON 2056a 2011: overall = 4.59, workload = 1.65, difficulty = 3.12
261 HEB 1388 2011: overall = 4.12, workload = 1.65, difficulty = 2.65
262 MODMIDEAST 100 2012: overall = 4.28, workload = 1.89, difficulty = 2.41
263 MUSIC 121a 2012: overall = 4.27, workload = 1.64, difficulty = 2.82
264 HAA 100r 2011: overall = 4.09, workload = 1.64, difficulty = 2.64
265 HEB 1416 2011: overall = 4.07, workload = 1.73, difficulty = 2.47
266 AESTH&INTP 55 2012: overall = 4.38, workload = 1.85, difficulty = 2.58
267 ROM-STD 109 2011: overall = 3.31, workload = 1.50, difficulty = 2.10
268 SOCIOL 165 2012: overall = 3.60, workload = 1.52, difficulty = 2.36
269 ENGLISH 43 2012: overall = 4.50, workload = 1.94, difficulty = 2.56
270 COMPSCI 105 2012: overall = 4.76, workload = 2.12, difficulty = 2.52
271 ENGLISH Cnnr 2012: overall = 5.00, workload = 2.11, difficulty = 2.78
272 MUSIC 159r 2011: overall = 3.50, workload = 1.38, difficulty = 2.50
273 SCRB 160 2011: overall = 4.60, workload = 1.80, difficulty = 2.90
274 AESTH&INTP 33 2011: overall = 4.09, workload = 1.74, difficulty = 2.49
275 PSY 1502 2012: overall = 3.59, workload = 1.59, difficulty = 2.24
276 CULTR&BLF 22 2011: overall = 3.65, workload = 1.54, difficulty = 2.39
