240 WOMGEN 1245 2012: overall = 4.56, workload = 1.81, difficulty = 2.31
241 GENETIC 202 2011: overall = 4.21, workload = 1.79, difficulty = 2.36
242 MBB 95 2012: overall = 3.69, workload = 1.69, difficulty = 2.56
243 HEB 1388 2011: overall = 4.12, workload = 1.65, difficulty = 2.65
244 OEB 59 2012: overall = 4.00, workload = 1.64, difficulty = 2.68
245 SOC-WORLD 21 2011: overall = 3.73, workload = 1.73, difficulty = 2.50
246 ECON 1432 2011: overall = 3.97, workload = 1.62, difficulty = 2.72
247 COMPSCI 143 2012: overall = 3.00, workload = 1.70, difficulty = 2.57
248 LING 83 2012: overall = 4.08, workload = 1.85, difficulty = 2.27
249 STAT 104 2012: overall = 4.02, workload = 1.74, difficulty = 2.49
250 AESTH&INTP 33 2011: overall = 4.09, workload = 1.74, difficulty = 2.49
251 SCI-PHYUNV 27 2011: overall = 3.63, workload = 1.80, difficulty = 2.39
252 HAA 11 2011: overall = 3.53, workload = 1.68, difficulty = 2.63
253 HISTSCI 176 2011: overall = 4.05, workload = 1.71, difficulty = 2.57
254 MATH 99r 2011: overall = 4.67, workload = 1.62, difficulty = 2.75
255 ANTHRO 1986 2011: overall = 4.75, workload = 1.75, difficulty = 2.50
256 PHYSICS 141 2012: overall = 4.06, workload = 1.78, difficulty = 2.44
257 US-WORLD 32 2011: overall = 4.45, workload = 1.69, difficulty = 2.62
258 ANTHRO 1758 2011: overall = 3.32, workload = 1.75, difficulty = 2.50
259 PSY 2050 2011: overall = 3.85, workload = 1.69, difficulty = 2.62
260 GOV 1368 2011: overall = 3.42, workload = 1.81, difficulty = 2.38
261 EXPOS 10.008 2011: overall = 4.90, workload = 1.50, difficulty = 3.00
262 SPANSH Aa 2011: overall = 4.32, workload = 1.72, difficulty = 2.56
263 ESPP 90t 2011: overall = 4.44, workload = 1.81, difficulty = 2.38
264 SCI-PHYUNV 22 2011: overall = 2.74, workload = 1.56, difficulty = 2.88
265 ASTRON 100 2011: overall = 4.80, workload = 1.80, difficulty = 2.40
266 FRENCH 61m 2011: overall = 4.38, workload = 1.77, difficulty = 2.46
267 PORTUG 180 2012: overall = 4.44, workload = 1.78, difficulty = 2.44
268 PHIL 159 2011: overall = 4.20, workload = 1.60, difficulty = 2.80
269 ECON 2770hf 2011: overall = 4.67, workload = 1.50, difficulty = 3.00
270 EXPOS 10.014 2011: overall = 4.56, workload = 1.78, difficulty = 2.44
